"old_code","new_code_0","new_code_1","date_change_1","change_type_1","new_code_2","date_change_2","change_type_2","new_code_3","date_change_3","change_type_3","final_code","experiences_split","direct_path_complicated","adjacent_to_complicated","part_of_complicated_path"
"5EC","5EC","5N8",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N8",0,"no",0,0
"5ED","5ED","5N6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N6",0,"no",0,0
"5EE","5EE","5N4",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N4",0,"no",0,0
"5EG","5EG","5N6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N6",0,"no",0,0
"5EH","5EH","5PA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PA",0,"no",0,0
"5EJ","5EJ","5PC",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PC",0,"no",0,0
"5EK","5EK","5N5",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N5",0,"no",0,0
"5EL","5EL","5N5",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N5",0,"no",0,0
"5EN","5EN","5N4",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N4",0,"no",0,0
"5EP","5EP","5N4",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N4",0,"no",0,0
"5EQ","5EQ","5N4",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N4",0,"no",0,0
"5ER","5ER","5N6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N6",0,"no",0,0
"5EV","5EV","5N8",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N8",0,"no",0,0
"5EX","5EX","5N7",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N7",0,"no",0,0
"5EY","5EY","5PC",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PC",0,"no",0,0
"5F2","5F2","5NG",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NG",0,"no",0,0
"5F3","5F3","5NG",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NG",0,"no",0,0
"5F4","5F4","5NQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NQ",0,"no",0,0
"5F6","5F6","5NR",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NR",0,"no",0,0
"5F8","5F8","5NK",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NK",0,"no",0,0
"5F9","5F9","5NJ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NJ",0,"no",0,0
"5FA","5FA","5N8",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N8",0,"no",0,0
"5FC","5FC","5N8",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N8",0,"no",0,0
"5FD","5FD","5QC",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QC",0,"no",0,0
"5FF","5FF","5P9",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P9",0,"no",0,0
"5FH","5FH","5P8",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P8",0,"no",0,0
"5FJ","5FJ","5P8",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P8",0,"no",0,0
"5FK","5FK","5P6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P6",0,"no",0,0
"5FM","5FM","5QP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QP",0,"no",0,0
"5FN","5FN","5QM",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QM",0,"no",0,0
"5FP","5FP","5QM",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QM",0,"no",0,0
"5FQ","5FQ","5QQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QQ",0,"no",0,0
"5FR","5FR","5QQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QQ",0,"no",0,0
"5FT","5FT","5QQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QQ",0,"no",0,0
"5FV","5FV","5QQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QQ",0,"no",0,0
"5FW","5FW","5QL",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QL",0,"no",0,0
"5FX","5FX","5QL",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QL",0,"no",0,0
"5FY","5FY","5QQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QQ",0,"no",0,0
"5G1","5G1","5PQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PQ",0,"no",0,0
"5G2","5G2","5QG",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QG",0,"no",0,0
"5G3","5G3","5QG",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QG",0,"no",0,0
"5G4","5G4","5QD",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QD",0,"no",0,0
"5G5","5G5","5QD",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QD",0,"no",0,0
"5G6","5G6","5QC",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QC",0,"no",0,0
"5G7","5G7","5NH",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NH",0,"no",0,0
"5G8","5G8","5NH",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NH",0,"no",0,0
"5G9","5G9","5NL",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NL",0,"no",0,0
"5GD","5GD","5P2",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P2",0,"no",0,0
"5GE","5GE","5P2",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P2",0,"no",0,0
"5GF","5GF","5PP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PP",0,"no",0,0
"5GG","5GG","5P3",2006-10-01,"merger","5QV",2010-04-01,"merger",NA,NA,NA,"5QV",0,"no",0,0
"5GH","5GH","5P3",2006-10-01,"merger","5QV",2010-04-01,"merger",NA,NA,NA,"5QV",0,"no",0,0
"5GJ","5GJ","5P3",2006-10-01,"merger","5QV",2010-04-01,"merger",NA,NA,NA,"5QV",0,"no",0,0
"5GK","5GK","5P3",2006-10-01,"merger","5QV",2010-04-01,"merger",NA,NA,NA,"5QV",0,"no",0,0
"5GL","5GL","5PX",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PX",0,"no",0,0
"5GM","5GM","5PW",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PW",0,"no",0,0
"5GN","5GN","5PV",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PV",0,"no",0,0
"5GP","5GP","5PY",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PY",0,"no",0,0
"5GQ","5GQ","5PY",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PY",0,"no",0,0
"5GR","5GR","5PY",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PY",0,"no",0,0
"5GT","5GT","5PR",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PR",0,"no",0,0
"5GV","5GV","5P4",2006-10-01,"merger","5QV",2010-04-01,"merger",NA,NA,NA,"5QV",0,"no",0,0
"5GW","5GW","5P4",2006-10-01,"merger","5QV",2010-04-01,"merger",NA,NA,NA,"5QV",0,"no",0,0
"5GX","5GX","5P4",2006-10-01,"merger","5QV",2010-04-01,"merger",NA,NA,NA,"5QV",0,"no",0,0
"5GY","5GY","5L1",2002-04-01,"merger",NA,NA,NA,NA,NA,NA,"5L1",0,"no",1,1
"5H2","5H2","5NK",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NK",0,"no",0,0
"5H3","5H3","5NN",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NN",0,"no",0,0
"5H4","5H4","5NP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NP",0,"no",0,0
"5H5","5H5","5NP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NP",0,"no",0,0
"5H6","5H6","5NN",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NN",0,"no",0,0
"5H7","5H7","5N6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N6",0,"no",0,0
"5H9","5H9","5N9",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N9",0,"no",0,0
"5HA","5HA","5NL",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NL",0,"no",0,0
"5HC","5HC","5NL",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NL",0,"no",0,0
"5HD","5HD","5NG",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NG",0,"no",0,0
"5HE","5HE","5NF",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NF",0,"no",1,1
"5HF","5HF","5NF",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NF",0,"no",1,1
"5HH","5HH","5N1",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N1",0,"no",0,0
"5HJ","5HJ","5N1",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N1",0,"no",0,0
"5HK","5HK","5N1",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N1",0,"no",0,0
"5HL","5HL","5N1",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N1",0,"no",0,0
"5HM","5HM","5N1",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N1",0,"no",0,0
"5HN","5HN","5N6",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N6",0,"no",0,0
"5HR","5HR","5PH",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PH",0,"no",0,0
"5HT","5HT","5PE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PE",0,"no",0,0
"5HV","5HV","5PE",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PE",0,"no",0,0
"5HW","5HW","5PH",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PH",0,"no",0,0
"5J1","5J1","5NM",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NM",0,"no",0,0
"5J3","5J3","5NM",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NM",0,"no",0,0
"5J7","5J7","5N2",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N2",0,"no",0,0
"5J8","5J8","5ND",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5ND",0,"no",0,0
"5JA","5JA","5PA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PA",0,"no",0,0
"5JC","5JC","5PA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PA",0,"no",0,0
"5JD","5JD","5PA",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PA",0,"no",0,0
"5JF","5JF","5QJ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QJ",0,"no",0,0
"5JG","5JG","5QJ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QJ",0,"no",0,0
"5JH","5JH","5PP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PP",0,"no",0,0
"5JJ","5JJ","5PP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PP",0,"no",0,0
"5JK","5JK","5PP",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PP",0,"no",0,0
"5JL","5JL","5PQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PQ",0,"no",0,0
