"old_code","final_code","experiences_split","problematic"
"RV8","R1K",0,0
"RVF","7A6",0,0
"RVK","RX6",NA,1
"RVL","RAL",0,0
"5LG","RVM",1,0
"RVM","5M6",NA,1
"RVM","5M7",NA,1
"RVP","RP7",0,0
"RVQ","5K3",0,0
"RVT","RW4",NA,1
"RVT","RW5",NA,1
"RVX","RX3",0,0
"RW2","RXM",0,0
"RW3","R0A",0,0
"RW7","RXX",0,0
"RW8","RX2",NA,1
"RW9","RX4",0,0
"RWC","RXE",0,0
"5M1","RWL",1,0
"5MX","RWL",1,0
"RWM","7A4",0,0
"RWN","R1L",0,0
"RWQ","R1A",NA,1
"RX5","RYF",0,0
"RXD","RX2",NA,1
"RXJ","RXY",0,0
"RY1","RW4",NA,1
"RYL","7A5",0,0
"RYM","7A3",0,0
"RYN","7A2",0,0
"RYP","7A1",0,0
"TAE","RXV",0,0
"TAG","5PX",0,0
"TAM","5QW",0,0
"X01","T145D",0,0
"X03","8HN02",0,0
"X09","X26",0,0
"Y41","Y51",0,0
"Y42","Y51",0,0
"Y43","Y51",0,0
"Y44","Y52",0,0
"Y45","Y53",0,0
"YAL","YDD55",0,0
